,Title,label,CMIP6 Title,Coordinates,Cell Measures,description
recPpfg7JAKaruElN,"Temporal mean, Global field (single level) [XY-na] {:typec4pft} [amnlax-tmn]",str-h036,"Temporal mean, Global field (single level) [XY-na] {:typec4pft} [amnlax-tmn]",typec4pft,area: areacella,
recPzZiZ17dphx20C,"Temporal mean, Global field (single level) [XY-na] [amnla-tmn] {rivers}",str-b401,"Temporal mean, Global field (single level) [XY-na] [amnla-tmn] {rivers}",,area: areacellr,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recQ85O2kbOsE8ExI,Model Configuration Integer Field of Flag Values,str-d66,"No temporal dimensions ... fixed field, Global field (with flags) [XY-na] [amn-fx]",,area: areacello,
recQN3Gu5FEA7RgcP,"Temporal mean, Global field (single level) [XY-na] {:p850} [tmean]",str-295,"Temporal mean, Global field (single level) [XY-na] {:p850} [tmean]",p850,area: areacella,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recQSs3efHOMKrxeb,"Temporal mean, Global field (single level) [XY-na] {:typec3natg} [amnlax-tmn]",str-h068,"Temporal mean, Global field (single level) [XY-na] {:typec3natg} [amnlax-tmn]",typec3natg,area: areacella,
recQWqR6XsDPu6jVZ,"Instantaneous value (i.e. synoptic or time-step value), Global field (16 altitudes) [XY-H16] {tau:} [amn-tpt]",str-d46,"Instantaneous value (i.e. synoptic or time-step value), Global field (16 altitudes) [XY-H16] {tau:} [amn-tpt]",,area: areacella,
recR2yIiduoFIqrQp,"Instantaneous value (i.e. synoptic or time-step value), Global field on model atmosphere levels [XY-A] {spectband:} [tpt]",str-d47,"Instantaneous value (i.e. synoptic or time-step value), Global field on model atmosphere levels [XY-A] {spectband:} [tpt]",,area: areacella,
recRWvNFC7GGOppXt,"Temporal mean, Sea-ice ocean transect [TRS-na]",str-b132,"Temporal mean, Sea-ice ocean transect [TRS-na]",,,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recRmaet3JZ1B8F9V,height2m,,,,,
recSUsk1XzgDi3TpS,"Temporal mean, Global field (single level) [XY-na] {:typepever} [amnlax-tmn]",str-h027,"Temporal mean, Global field (single level) [XY-na] {:typepever} [amnlax-tmn]",typepever,area: areacella,
recT6Hs9r4byhXcBP,"Time and Area Mean on Single Level, Masked (Sea)",str-a098,"Temporal mean, Global field (single level) [XY-na] [amse-tmn]",,area: areacello,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recTW3hMqWLLXFaEy,"Instantaneous value (i.e. synoptic or time-step value), Global field (single level) [XY-na] {:pl700} [tpt]",str-d77,"Instantaneous value (i.e. synoptic or time-step value), Global field (single level) [XY-na] {:pl700} [tpt]",pl700,area: areacella,
recUTEmXKxkBpYkmt,"Instantaneous value (i.e. synoptic or time-step value), Global field (single level) [XY-na] {:sdepth1} [amnla-tpt]",str-183,"Instantaneous value (i.e. synoptic or time-step value), Global field (single level) [XY-na] {:sdepth1} [amnla-tpt]",sdepth1,area: areacella,
recUhEhUPgE3cvoSj,"Instantaneous value (i.e. synoptic or time-step value), Global field on model atmosphere levels [XY-A] {:lambda550nm} [amn-tpt]",str-e18,"Instantaneous value (i.e. synoptic or time-step value), Global field on model atmosphere levels [XY-A] {:lambda550nm} [amn-tpt]",lambda550nm,area: areacella,
recUoK3hGmQJ5yWNp,"Temporal mean, Global field (single level) [XY-na] {:typetreend} [amnlax-tmn]",str-h071,"Temporal mean, Global field (single level) [XY-na] {:typetreend} [amnlax-tmn]",typetreend,area: areacella,
recUoaEu67wQufUwv,"Temporal mean, Global field (single level) [XY-na] {:typec3crop} [amnlax-tmn]",str-z101,"Temporal mean, Global field (single level) [XY-na] {:typec3crop} [amnlax-tmn]",typec3crop,area: areacella,
recV5luKsn0VKfHjC,"Temporal Maximum, Near-Surface Field (2m)",str-130,"Temporal Maximum, Global field (single level) [XY-na] {:height2m} [tmax]",height2m,area: areacella,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recV9JWttCWYBZFgv,"Weighted Time-Mean on Single Level, Masked (Snow on Sea Ice)",str-387,"Temporal mean, Global field (single level) [XY-na] [amsnsi-tmn]",,area: areacello,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recVCaMujrpqs6oV1,"Temporal mean, Greenland Polar Stereographic Grid [XYG-na] [amni-twmn]",str-b136,"Temporal mean, Greenland Polar Stereographic Grid [XYG-na] [amni-twmn]",,area: areacellg,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recVExxvq3HeW0nTZ,"Instantaneous value (i.e. synoptic or time-step value), Global field on model atmosphere levels [XY-A] [tpt]",str-a046,"Instantaneous value (i.e. synoptic or time-step value), Global field on model atmosphere levels [XY-A] [tpt]",,--OPT,
recVu3JftnYn6jDER,"Temporal Accumulation, Global field (single level) [XY-na] [am-tm]",str-x13,"Temporal Accumulation, Global field (single level) [XY-na] [am-tm]",,area: areacella,"It may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recWHu8xgqMENwAOR,"Temporal mean, Global field (single level) [XY-na] [amni-twmn]",str-b107,"Temporal mean, Global field (single level) [XY-na] [amni-twmn]",,area: areacella,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recWQB36LPdlxmIiG,"Temporal mean, Greenland Polar Stereographic Grid [XYG-na] [amnfi-twmn]",str-b124,"Temporal mean, Greenland Polar Stereographic Grid [XYG-na] [amnfi-twmn]",,area: areacellg,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recXDmOADZkCHWfHR,"Time invariant, Greenland Polar Stereographic Grid, Grounded [XYG-na] [amgi-fx] ",str-b109,"Time invariant, Greenland Polar Stereographic Grid, Grounded [XYG-na] [amgi-fx] ",,area: areacellg,
recXZUNAyQJ0v8yOT,"Temporal mean, Global field [XY-na] {effectRadIc tau:} [am-tm]",str-d87,"Temporal mean, Global field [XY-na] {effectRadIc tau:} [am-tm]",,area: areacella,
recYGCyOtJrvmMYOw,"Fixed, Global field (single level) [XY-na] {:typeli} [amn-fx]",str-z003,"Fixed, Global field (single level) [XY-na] {:typeli} [amn-fx]",typeli,area: areacella,
recYMp0ffjgFCS77v,"Temporal mean, Global field (single level) [XY-na] [amc-twm]",str-h042,"Temporal mean, Global field (single level) [XY-na] [amc-twm]",,area: areacella,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recYUWaWLo9bKNWjX,"Weighted Time-Mean on Single Level, Masked (Sea)",str-z005,"Temporal weighted mean, Global field (single level) [XY-na] {:typesi} [amse-tmn]",typesi,area: areacello,
recYZH67w8uSR74mH,"Temporal mean, Global mean/constant [na-na] [asm-tmn]",str-032,"Temporal mean, Global mean/constant [na-na] [asm-tmn]",,,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recYg0cyZOfcU29MT,"Model Configuration Surface Field, Area Mean, Masked (Land)",str-d44,"No temporal dimensions ... fixed field, Global field (single level) [XY-na] [amla]",,area: areacella,
recYmwFEwmRvyP4sL,"Time  mean, weighted by sea ice area, Global field (single level) [XY-na] {on model mest points} [amnsi-twm]",str-b169,"Time  mean, weighted by sea ice area, Global field (single level) [XY-na] {on model mest points} [amnsi-twm]",,--MODEL,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recZ04SdbaT5LWr2w,"Temporal mean, Global field (single level) [XY-na] {:height2m} [dmax]",str-083,"Temporal mean, Global field (single level) [XY-na] {:height2m} [dmax]",height2m,area: areacella,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recZ0eOSFqoj6TqLs,"Temporal mean, Ocean Basin Meridional Section (on density surfaces) [YB-R] [bgzmean]",str-h006,"Temporal mean, Ocean Basin Meridional Section (on density surfaces) [YB-R] [bgzmean]",,,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recZAArHmokxMCQoU,"Temporal mean, Global field (single level) [XY-na] {:p1000} [tmean]",str-345,"Temporal mean, Global field (single level) [XY-na] {:p1000} [tmean]",p1000,area: areacella,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recZMfMHduJzhMF1R,"Temporal mean, Global field (single level) [XY-na] [ams-twm]",str-h044,"Temporal mean, Global field (single level) [XY-na] [ams-twm]",,area: areacella,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recaTvXYyUrVKj7Io,"Temporal mean, Ocean Basin Meridional Section [YB-O] [bzzsum]",str-h018,"Temporal mean, Ocean Basin Meridional Section [YB-O] [bzzsum]",,,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recaVQunKOVWqI9MS,"Instantaneous value (i.e. synoptic or time-step value), Global field (single level) [XY-na] {sza5:} [amse-tpt]",str-359,"Instantaneous value (i.e. synoptic or time-step value), Global field (single level) [XY-na] {sza5:} [amse-tpt]",,area: areacella,
recaXauD0YmGNobA0,"Temporal mean, Global field (single level) [XY-na] [amsnla-twn]",str-h387,"Temporal mean, Global field (single level) [XY-na] [amsnla-twn]",,area: areacella,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recbQyRHAqayozoTW,"Temporal Maximum, Global field (single level) [XY-na] [tmax]",str-447,"Temporal Maximum, Global field (single level) [XY-na] [tmax]",,area: areacella,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recbXyA7EDD1t26FH,"Model Configuration Surface Field, Area Mean",str-x39,"No temporal dimensions ... fixed field, Global field (single level) [XY-na] [amn-fx]",,area: areacello,
recbfwDnYpW3k8kzK,Time-Mean on 19 Pressure Levels,str-a023,"Temporal mean, Global field (19 pressure levels) [XY-P19] [tmean]",,area: areacella,
recbupSXf6aF8RhY2,"Temporal mean, Ocean Basin Zonal Sum [YB-na] [bzzsum]",str-a081,"Temporal mean, Ocean Basin Zonal Sum [YB-na] [bzzsum]",,,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
reccFLc1FgSXk8Ffo,"Temporal mean, Global field (single level) [XY-na] {:depth700m} [tmean]",str-d32,"Temporal mean, Global field (single level) [XY-na] {:depth700m} [tmean]",depth700m,area: areacello,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
reccYHti1VwcaAaZ4,Time-Mean Surface Field (Area Mean or Vertices),str-a096,"Temporal mean, Global field (single level) [XY-na] [tmean] (optionally on vertices)",,--OPT,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
reccZ6EzaYxpsLw1e,"Temporal mean, Global field (single level) [XY-na] {:typec3pft} [amnlax-tmn]",str-h031,"Temporal mean, Global field (single level) [XY-na] {:typec3pft} [amnlax-tmn]",typec3pft,area: areacella,
recchsPxdU6dEdrYD,"Temporal mean, Ocean Basin Meridional Section [YB-O] [bgzmean]",str-h009,"Temporal mean, Ocean Basin Meridional Section [YB-O] [bgzmean]",,,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
reccnHcqHKZZU0DAh,"Temporal mean, Global ocean field on model levels [XY-O] [asm-tmean]",str-a073,"Temporal mean, Global ocean field on model levels [XY-O] [asm-tmean]",,area: areacello volume: volcello,
recd3aSGsUuuqIHaN,"Temporal mean, Global field (single level) [XY-na] {landUse:sdepth1} [amlu-twm]",str-z200,"Temporal mean, Global field (single level) [XY-na] {landUse:sdepth1} [amlu-twm]",sdepth1,area: areacella,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recdBL1yhvfebaA5O,"Instantaneous, Global field (single level) [XY-na] [amnlsi-tpt]",str-z112,"Instantaneous, Global field (single level) [XY-na] [amnlsi-tpt]",,area: areacella,
recdMk4LINc5PRq1a,"Temporal mean, Global field (single level) [XY-na] {:typemp} [amnsi-twm]",str-d84,"Temporal mean, Global field (single level) [XY-na] {:typemp} [amnsi-twm]",typemp,area: areacello,
recdulhet9ya46Dm6,"Temporal mean, Global field (single level) [XY-na] {:p840} [tmean]",str-043,"Temporal mean, Global field (single level) [XY-na] {:p840} [tmean]",p840,area: areacella,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
rece6WF9Vio41Iqvl,"Instantaneous value (i.e. synoptic or time-step value), Global field (27 pressure levels) [XY-P27] [amn-tpt]",str-296,"Instantaneous value (i.e. synoptic or time-step value), Global field (27 pressure levels) [XY-P27] [amn-tpt]",,area: areacella,
recejMJD6ArHzng3Z,"Temporal mean, Ocean Transect [TR-na] [tmean]",str-085,"Temporal mean, Ocean Transect [TR-na] [tmean]",,,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recemRttb2Ujkp4NM,"Temporal mean, Masked global sum - ice sheets (floating and grounded) [asmi-tmn]",str-x188,"Temporal mean, Masked global sum - ice sheets (floating and grounded) [asmi-tmn]",,,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recfMtovTXrxKt4O5,"Time invariant, Greenland Polar Stereographic Grid, Ice Sheet [XYG-na] [ami-fx]",str-c109,"Time invariant, Greenland Polar Stereographic Grid, Ice Sheet [XYG-na] [ami-fx]",,area: areacellg,
recfP0WpmaIggUKLm,"Temporal mean, Global field (ice free sea) [XY-na] [amnifs-tmn]",str-a043,"Temporal mean, Global field (ice free sea) [XY-na] [amnifs-tmn]",,area: areacello,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recfQtUeIDzc2z0od,"Weighted Time-Mean on Single Level, Masked (Sea Ice)",str-b220,"Temporal mean, Global field (single level) [XY-na] [amnsi-twm]",,area: areacello,"Sea ice variables should be reported on the grid used for the relevant variable in the sea ice model, i.e. the ocean grid."
recffR0LarNfeAptL,"Temporal Maximum, Global field (single level) [XY-na] {:height10m} [tmax]",str-049,"Temporal Maximum, Global field (single level) [XY-na] {:height10m} [tmax]",height10m,area: areacella,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recfnNz6rgROUZTm7,"Temporal mean, Global field (single level) [XY-na] {:typeshrub} [amnlax-tmn]",str-h025,"Temporal mean, Global field (single level) [XY-na] {:typeshrub} [amnlax-tmn]",typeshrub,area: areacella,
recg7yag1tcckaedj,"Temporal mean, Global field (single level) [XY-na] {:typetreebe} [amnlax-tmn]",str-h060,"Temporal mean, Global field (single level) [XY-na] {:typetreebe} [amnlax-tmn]",typetreebe,area: areacella,
recg8oMkRL7qd8Qcm,"Temporal mean, Global field (single level) [XY-na] {:typepasture} [amnlax-tmn]",str-h032,"Temporal mean, Global field (single level) [XY-na] {:typepasture} [amnlax-tmn]",typepasture,area: areacella,
recgW8sIGUksFBPiv,"Temporal Minimum, Near-Surface Field (2m)",str-189,"Temporal Minimum, Global field (single level) [XY-na] {:height2m} [tmin]",height2m,area: areacella,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recgzipNa1nKeGFy5,"Instantaneous value (i.e. synoptic or time-step value), Global field (single level) [XY-na] [amnsi-tpt]",str-348,"Instantaneous value (i.e. synoptic or time-step value), Global field (single level) [XY-na] [amnsi-tpt]",,area: areacello,
rech3JJug55LaHaKs,"Climatological mean, Global ocean field on model half levels [XY-OH] [aclim]",str-x072,"Climatological mean, Global ocean field on model half levels [XY-OH] [aclim]",,area: areacello,
rechXwfOGLYZ3Rxgj,"Temporal mean, Global field (single level) [XY-na] {:height2m} [dmin]",str-082,"Temporal mean, Global field (single level) [XY-na] {:height2m} [dmin]",height2m,area: areacella,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
rechZyqbcdlK09eWQ,"Temporal mean, Global field (single level) [XY-na] {:typenatgr} [amnlax-tmn]",str-h034,"Temporal mean, Global field (single level) [XY-na] {:typenatgr} [amnlax-tmn]",typenatgr,area: areacella,
rechmKqU41O467X9J,"Temporal mean, Global field (single level) [XY-na] {:height100m} [tmean]",str-h053,"Temporal mean, Global field (single level) [XY-na] {:height100m} [tmean]",height100m,area: areacella,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
reciB6rJcldRmLutp,"Temporal mean, Global field (single level) [XY-na] {:lambda550nm scatter180} [am-tm]",str-914,"Temporal mean, Global field (single level) [XY-na] {:lambda550nm scatter180} [am-tm]","lambda550nm, scatter180",area: areacella,
reciOlpzoGJF9dJpS,"Temporal mean, Global field (single level) [XY-na] [amnlsi-tmn]",str-z111,"Temporal mean, Global field (single level) [XY-na] [amnlsi-tmn]",,area: areacella,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recj723lWhC3Ko9TT,"Time-Mean on Single Soil-Model Level, Masked (Land)",str-218,"Temporal mean, Global field (single level) [XY-na] {:sdepth1} [amnla-tmn]",sdepth1,area: areacella,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recjLHYpECKCxZqtG,"Temporal mean, Global field on model atmosphere half-levels [XY-AH] [tmean]",str-245,"Temporal mean, Global field on model atmosphere half-levels [XY-AH] [tmean]",,area: areacella,
recjQYZ7slA4KmMuI,Global field (single level) [XY-na]  [fixed],str-x100,Global field (single level) [XY-na]  [fixed],,--UGRID,
recjis1cFrBSK7Fjq,Synoptic Near-Surface Field (2m),str-250,"Instantaneous value (i.e. synoptic or time-step value), Global field (single level) [XY-na] {:height2m} [tpt]",height2m,area: areacella,
reck8M0vCuQUetEVu,"Temporal mean, Global field (single level) [XY-na] {vegtype:} [amnlax-tmn]",str-h011,"Temporal mean, Global field (single level) [XY-na] {vegtype:} [amnlax-tmn]",,area: areacella,
reckfioapUorVHNAN,"Temporal mean, Global field (single level) [XY-na] {:depth2000m} [tmean]",str-d30,"Temporal mean, Global field (single level) [XY-na] {:depth2000m} [tmean]",depth2000m,area: areacello,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recl4uVrsTRX4Rb5q,"Temporal mean, Global field (single level) [XY-na] {:typec4natg} [amnlax-tmn]",str-h066,"Temporal mean, Global field (single level) [XY-na] {:typec4natg} [amnlax-tmn]",typec4natg,area: areacella,
reclAWvcBoHf9VRvu,Time-Mean Near-Surface Field (10m),str-d78,"Temporal mean, Global field (single level) [XY-na] {:height10m} [tmean]",height10m,area: areacella,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
reclsTjoZn0bLbCEr,"Temporal Maximum, Global field (single level) [XY-na] {:height2m} [tmaxc]",str-e130,"Temporal Maximum, Global field (single level) [XY-na] {:height2m} [tmaxc]",height2m,area: areacella,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recltT5Mx4nsJPlkq,"Time invariant, Antarctic Polar Stereographic Grid, Ice Sheet [XYA-na] [ami-fx]",str-c226,"Time invariant, Antarctic Polar Stereographic Grid, Ice Sheet [XYA-na] [ami-fx]",,area: areacellg,
recly4F5MnosPf0Kd,"Instantaneous value (i.e. synoptic or time-step value), Site (121 specified sites) [S-na] [apt-tpt]",str-d09,"Instantaneous value (i.e. synoptic or time-step value), Site (121 specified sites) [S-na] [apt-tpt]",,,
recmEiiUTdEniMGBI,"Temporal mean, Global field (single level) [XY-na] {:olayer100m} [amds-tmn]",str-d06,"Temporal mean, Global field (single level) [XY-na] {:olayer100m} [amds-tmn]",olayer100m,area: areacello,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recmKyzuAKKcWu7qa,"Temporal mean, Global field (single level) [XY-na] {:typewetla} [amnla-tmn]",str-z110,"Temporal mean, Global field (single level) [XY-na] {:typewetla} [amnla-tmn]",typewetla,area: areacella,
recmQqFmISrvLJRKa,"No temporal dimensions ... fixed field, Site (121 specified sites) [S-na]",str-156,"No temporal dimensions ... fixed field, Site (121 specified sites) [S-na]",,,
recmV0enfQwqRZ8LW,"Temporal mean, Antarctic Polar Stereographic Grid [XYA-na] [amni-twmn]",str-b159,"Temporal mean, Antarctic Polar Stereographic Grid [XYA-na] [amni-twmn]",,area: areacellg,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recmpJts1xbQ0CJvg,"Temporal mean, Global field (single level) [XY-na] {:p500} [tmean]",str-181,"Temporal mean, Global field (single level) [XY-na] {:p500} [tmean]",p500,area: areacella,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recnWO5JKgef3rHoo,"Temporal mean, Global field (single level) [XY-na] [amnsia-twm]",str-b221,"Temporal mean, Global field (single level) [XY-na] [amnsia-twm]",,area: areacella,"This data structure is for sea ice diagnostics requested on the atmospheric grid, i.e. surface radiative fluxes."
recnYm5IK0uyRDKRL,"Instantaneous value (i.e. synoptic or time-step value), Global field (single level) [XY-na] {:p500}",str-d37,"Instantaneous value (i.e. synoptic or time-step value), Global field (single level) [XY-na] {:p500}",p500,area: areacella,
recoHpDUOudQ2AVtA,Time-Mean on 8 Pressure Levels,str-210,"Temporal mean, Global field (8 pressure levels) [XY-P8] [tmean]",,area: areacella,
recoMqX98g1xWSgWK,"Temporal mean, Global field (single level) [XY-na] [amng-twm]",str-h046,"Temporal mean, Global field (single level) [XY-na] [amng-twm]",,area: areacella,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recogSZabRge1Ps3I,Time Invariant Global Field on Soil Levels [XY-na] {sdepth:} [amla],str-b290,Time Invariant Global Field on Soil Levels [XY-na] {sdepth:} [amla],,area: areacella,
recovnZuBQ7c6wfbJ,"Instantaneous, Global field (single level) [XY-na] {:p220} [amn-tpt]",str-922,"Instantaneous, Global field (single level) [XY-na] {:p220} [amn-tpt]",p220,area: areacella,
recp28oKSJjfVvtlL,"Temporal mean, Atmospheric Zonal Mean (on 19 pressure levels) [Y-P19] [tmean]",str-b233,"Temporal mean, Atmospheric Zonal Mean (on 19 pressure levels) [Y-P19] [tmean]",,,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
