,Name,Title,CF Standard Name,Units,UID,Provenance,Name Validation,Status,CMOR Variables,Description,is alias (from CF Standard Name),Created,Last Modified By,Atmosphere team review status,Tagged author team,Data protection consent,Proposer name,Proposer email,Justification for inclusion,Atmosphere team review status copy 4,Processing Note,Proposed CF Standard Name,Proposed CF Standard Name Description,Processing Comment,Atmosphere review comments copy,Comments,Edited by author teams,Atmosphere team review status copy 2,Atmosphere team review status copy 5,Atmosphere team review status copy 6,Atmosphere review comments,CF Standard Name Proposal Accepted
recGzVcjqM8RckyPi,thetaot,Vertically Averaged Sea Water Potential Temperature,sea_water_potential_temperature,degC,b5bc9b1fa92a35cec5989eeac3d77d1a,SPECS_Omon,1,Existing physical parameter,['rec7M1YkkTAE2b9y7'],"Vertical average of the sea water potential temperature through the whole ocean depth
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,['vi'],,,,,,,,,,,
recH0vBFaK5V2P86p,omldamax,Mean Daily Maximum Ocean Mixed Layer Thickness Defined by Mixing Scheme,ocean_mixed_layer_thickness_defined_by_mixing_scheme,m,5f8dc9362d17e2daa42dd6f0f38afb76,"CMIP5_Omon,CMIP5_day,PMIP3_Oclim,PMIP3_Omon,PMIP3_day",1,Existing physical parameter,['recDEFgXbMStffTrs'],"The ocean mixed layer is the upper part of the ocean, regarded as being well-mixed. The base of the mixed layer defined by the mixing scheme is a diagnostic of ocean models. ""Thickness"" means the vertical extent of a layer.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recH69q2hVSHNcCKC,fgsf6,Surface Downward SF6 Flux,surface_downward_mole_flux_of_sulfur_hexafluoride,mol m-2 s-1,4a62506a657921cdde7c173c0ae09b98,OMIP.Omon,1,Existing physical parameter,['recXBxpsGeA0aSRbp'],"gas exchange flux of SF6
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recH7BrLRhOOy5drS,fLulccAtmLut,Carbon Transferred Directly to Atmosphere Due to any Land-Use or Land-Cover Change Activities [kgC m-2 s-1],surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_anthropogenic_land_use_or_land_cover_change_excluding_forestry_and_agricultural_products,kg m-2 s-1,3f3051c6-b89b-11e6-be04-ac72891c3257,CMIP6 [LUMIP],1,Existing physical parameter,['recBTJzzuwwnv4gFM'],"This annual mean flux refers to the transfer of carbon directly to the atmosphere due to any land-use or land-cover change activities.  Include carbon transferred due to deforestation or agricultural directly into atmosphere, and  emissions form anthropogenic pools into atmosphere
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recH9wVnRAlKq6Kxl,expsiob,Downward sinking flux of particulate silicon at seafloor,sinking_mole_flux_of_particulate_silicon_in_sea_water,mol m-2 s-1,,,1,New,['recXdm6ZatzPzBeeS'],,0 checked out of 1,2024-09-26T14:05:49.000Z,Anonymous,,['Earth system'],True,Jessica Luo,jessica.luo@noaa.gov,"Understanding the sinking flux of particulate organic silicon reaching the ocean bottom will help understand and constrain micronutrient fluxes in the sediments.
",,,,,,,,,,,,,
recHBea3so0bkgNIZ,emibboa,total emission of organic aerosol from all biomass burning ,,kg m-2 s-1,,,1,Under review,['rec4d2SMpfXCMj87p'],,,2024-08-30T11:47:16.000Z,Beth Dingley,In progress,['Atmosphere'],True,Atmosphere,fiona.oconnor@metoffice.gov.uk,"To understand sources of organic aerosol in models
",,,tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_particles_due_to_emission_from_all_fires,https://github.com/cf-convention/vocabularies/issues/215,,,,,,,,,
recHFAmVWioMVXPyd,pbfe,Biogenic Iron Production,tendency_of_mole_concentration_of_iron_in_sea_water_due_to_biological_production,mol m-3 s-1,a336fa5c0a328636d04ea8f648dcd7c7,"CMIP5,C4MIP,HighResMIP,LS3MIP",1,Existing physical parameter,['recOjBuw0X4nr0SDo'],"'Mole concentration' means number of moles per unit volume, also called ""molarity"", and is used in the construction mole\_concentration\_of\_X\_in\_Y, where X is a material constituent of Y.  A chemical or biological species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox\_expressed\_as\_nitrogen'. The specification of a physical process by the phrase due\_to\_process means that the quantity named is a  single term in a sum of terms which together compose the general quantity  named by omitting the phrase.  ""tendency\_of\_X"" means derivative of X with respect to time.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recHJsAy0G7DupfHn,o3,Mole Fraction of O3,mole_fraction_of_ozone_in_air,mol mol-1,1d4594c97188efd47935238a429e02e4,"CCMI1_daily,CCMI1_monthly",1,Existing physical parameter,"['recg9SS9kRKCehmvK', 'recoGpWJ6S2sf4YGi', 'rec9QaOP92Zy7P0it', 'rec3saStJq4aDcbiQ', 'recGH20QQqciuUTeE']","Mole fraction is used in the construction mole\_fraction\_of\_X\_in\_Y, where X is a material constituent of Y.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recHOOdJRfq4CB5tz,o3prod,O3 Production Rate,tendency_of_atmosphere_mole_concentration_of_ozone_due_to_chemical_production,mol m-3 s-1,9799d95c5c691eec9bb4c1bf9b050191,CCMI1_monthly,1,Existing physical parameter,['rec5KROPySUbcTH3z'],"ONLY provide the sum of all the HO2/RO2 + NO reactions (as k\*[HO2]\*[NO])
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recHQCBj75JyXtSgF,fsfe,Surface Downward Net Flux of Iron,tendency_of_ocean_mole_content_of_iron_due_to_deposition_and_runoff_and_sediment_dissolution,mol m-2 s-1,b385b4f43e7385eb7bfe4e2175bb086d,"CMIP5_Omon,PMIP3_Oclim,PMIP3_Omon",1,Existing physical parameter,['recTimAQyBFSBABYm'],"Iron supply through deposition flux onto sea surface, runoff, coasts, sediments, etc
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recHRIiecMqbfCiFD,hcho,Formaldehyde Volume Mixing Ratio,mole_fraction_of_formaldehyde_in_air,mol mol-1,fe6bdb96-a41f-11e5-9025-ac72891c3257,AerChemMIP endorsement (1),1,Existing physical parameter,['rec3EeV88NX0oRaVn'],"Mole fraction is used in the construction mole\_fraction\_of\_X\_in\_Y, where X is a material constituent of Y.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recHUiJmw3IdzBHYh,therssl,regional sterodynamic sea level,thermosteric_change_in_sea_surface_height,m,,,1,Under review,,,0 checked out of 1,2024-09-06T01:10:25.000Z,Beth Dingley,,['Ocean & sea-ice'],True,Chenyang Jin,jcy@lasg.iap.ac.cn,,,,,,,,,,In progress,,,,
recHUz3Wo0gziJ384,vsfriver,Virtual Salt Flux into Sea Water from Rivers,virtual_salt_flux_into_sea_water_from_rivers,kg m-2 s-1,86e9eba62a2d7875705086a75ba7f78c,OMIP.Omon,1,Existing physical parameter,['recctVoxoYKRPzZYj'],"zero for models using real water fluxes.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recHVlgKNZ9FcQTYr,chlos,Surface Mass Concentration of Total Phytoplankton Expressed as Chlorophyll in Sea Water,mass_concentration_of_phytoplankton_expressed_as_chlorophyll_in_sea_water,kg m-3,1c757370cf83e5619efc0de4d1241f47,OMIP_day,1,Existing physical parameter,"['rectfSiK2TuHnCl6x', 'recir02bXXdQYFs79']","Sum of chlorophyll from all phytoplankton group concentrations at the sea surface.  In most models this is equal to chldiat+chlmisc, that is the sum of 'Diatom Chlorophyll Mass Concentration' plus 'Other Phytoplankton Chlorophyll Mass Concentration'
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recHXmTV5IoGgOOsl,zoocos,Surface Zooplankton Carbon Concentration,mole_concentration_of_zooplankton_expressed_as_carbon_in_sea_water,mol m-3,c96c9c52-c5f0-11e6-ac20-5404a60d96b5,CMIP6 Endorsement [OMIP],1,Existing physical parameter,['rec7bGhwSnRzgwYXx'],"sum of zooplankton carbon component concentrations
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recHZXQVaL82IwCJk,utendogw,Eastward Acceleration Due to Orographic Gravity Wave Drag,tendency_of_eastward_wind_due_to_orographic_gravity_wave_drag,m s-2,590ed5a8-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [DynVarMIP],1,Existing physical parameter,"['rec0pDuadpAJBllN9', 'recXvAaOjPCX9qB8s', 'reclzYBGOC8PAgSq4']","Tendency of the eastward wind by parameterized orographic gravity waves.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,['gw'],,,,,,,,,,,
recHaErMczMoJsvbo,sootsn,Snow Soot Content,soot_content_of_surface_snow,kg m-2,d421b6923b396998106a8c1c66ea07f1,"CMIP5_LImon,PMIP3_LIclim,PMIP3_LImon",1,Existing physical parameter,"['reczs2le4nQWytZWy', 'recdBrbgf049ACrqF']","the entire land portion of the grid cell is considered, with snow soot content set to 0.0 in regions free of snow.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recHbQKPCOpLSMUBQ,basin,Region Selection Index,region,1,1d3ef4c73895a317948f1f3870f65834,OMIP.fx,1,Existing physical parameter,['recdzTlBDdZi2ORdG'],"A variable with the standard name of region contains strings which indicate geographical regions. These strings must be chosen from the standard region list.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recHeXHYFxLcRecPP,acabfIs,Ice Sheet Surface Mass Balance Flux,land_ice_surface_specific_mass_balance_flux,kg m-2 s-1,53824c12-bf01-11e6-a554-ac72891c3257,CMIP6 [ISMIP6],1,Existing physical parameter,['rece5TeRa08zhSzlJ'],"Specific mass balance means the net rate at which ice is added per unit area at the land ice surface. Computed as the total surface mass balance on the land ice portion of the grid cell divided by land ice area in the grid cell. A negative value means loss of ice
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recHfvNQnJwmr5otz,ta850,Air Temperature,air_temperature,K,1e73cc52b4b323161e26ffd19ad68af4,"CORDEX_6h,CORDEX_day,CORDEX_mon,CORDEX_sem",1,Existing physical parameter,['recCcFrZzam1Uueh6'],"Air temperature at 850hPa
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recHnZRuh2SpNnLBL,intpbfe,Iron Production,tendency_of_ocean_mole_content_of_iron_due_to_biological_production,mol m-2 s-1,28d5c13c016320943983914bc63e6abd,"CMIP5_Omon,PMIP3_Oclim,PMIP3_Omon",1,Existing physical parameter,['reccrkqU80OxgojIV'],"Vertically integrated biogenic iron production
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recHosLwVyXTmRr3f,difvmbo,Ocean Vertical Momentum Diffusivity Due to Background,ocean_vertical_momentum_diffusivity_due_to_background,m2 s-1,f94930c327a257dddea9ef9d0e260ed3,CMIP5_Oclim,1,Existing physical parameter,['recPvGig15SRE8gZS'],"Vertical/dianeutral diffusivity applied to momentum due to the background (i.e. caused by a time invariant imposed field which may be either constant over the globe or spatially varying, depending on the ocean model used).
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recHs3Jhijopa2Vr9,wdir,Total Waves Direction,,degree,,,1,New,,,,2024-09-16T15:26:03.000Z,Anonymous,,['Ocean & sea-ice'],True,André Lanfer,andre.lanfer@inpe.br,"inclusion of the wave model's output
",,,ocean_surface_wave_direction,https://github.com/cf-convention/vocabularies/issues/226,,,,,,,,,
recHs6RTXXkCt2P2P,qgwr,Groundwater Recharge from Soil Layer,downward_liquid_water_mass_flux_into_groundwater,kg m-2 s-1,591768a8-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [LS3MIP],1,Existing physical parameter,['recMa00f5n7tMvplp'],"Mass flux of water from the soil layer into ground water.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recHvVHULubUgb8gn,clwmodis,MODIS Liquid Cloud Percentage,liquid_water_cloud_area_fraction,%,590e9c50-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [CFMIP],1,Existing physical parameter,['recjjvglxfR9SbU7M'],"Mass of cloud liquid water, as seen by the  Moderate Resolution Imaging Spectroradiometer (MODIS). Includes both large-scale and convective cloud.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recHyWT52phCin7LK,fVegLitterMortality,Total Carbon Mass Flux from Vegetation to Litter as a Result of Mortality,mass_flux_of_carbon_into_litter_from_vegetation_due_to_mortality,kg m-2 s-1,5913a696-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [C4MIP],1,Existing physical parameter,['recG9z9mgjD2d6y2b'],"needed to separate changing vegetation C turnover times resulting from changing allocation versus changing mortality
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recI3SgZ2eTD8wjtZ,clt,Total Cloud Cover Percentage,cloud_area_fraction,%,7c2249d424dde72f8616d42870a9d425,CCMI1_monthly,1,Existing physical parameter,"['rec7b8eFeWB8jUK12', 'recIDP2zXYIC0hWhv', 'recmxpCQhP4IYlltk', 'recoWBIlFVqII0428', 'rec85d28PslMIPhVN', 'recyDxSQtThmkZOQK', 'recFeJDTmzEhqYYUX']","Total cloud area fraction (reported as a percentage) for the whole atmospheric column, as seen from the surface or the top of the atmosphere. Includes both large-scale and convective cloud.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recI75x6Y1u6j222O,opottemprmadvect,Tendency of Sea Water Potential Temperature Expressed as Heat Content Due to Residual Mean Advection,tendency_of_sea_water_potential_temperature_expressed_as_heat_content_due_to_residual_mean_advection,W m-2,3cbe53c2-12cc-11e6-b2bc-ac72891c3257,CMIP6 endorsement [FAFMIP],1,Existing physical parameter,"['recbsh6hgyQ0fWQYZ', 'recZgupAZZgTiKKs4']","The phrase ""residual mean advection"" refers to the sum of the model's resolved advective transport plus any parameterized advective transport. Parameterized advective transport includes processes such as parameterized mesoscale and submesoscale transport, as well as any other advectively parameterized transport. When the parameterized advective transport is represented in the model as a skew-diffusion rather than an advection, then the parameterized skew diffusion should be included in this diagnostic, since the convergence of skew-fluxes are identical (in the continuous formulation) to the convergence of advective fluxes.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recI7VgF6Sy7RpHCN,noaahi2mmax,max 2m daily NOAA heat index,,degC,,,1,Under review,['recGJ9wvqCClHnvXM'],,,2024-09-15T15:30:05.000Z,Data Request co-leads,In progress,"['Impacts & Adaptation', 'Atmosphere']",True,Impacts and Adaptation,ulas@envs.au.dk,"Important to estimate the heat stress impact on human health
",In progress,,max 2m daily NOAA heat index,,,"Can this use the existing CF Standard Name heat_index_of_air_temperature? I think this is the same quantity, but have not found direct confirmation.",,,,,,,
recI7xwA77HUm1TpA,nudgincsm,Nudging Increment of Water in Soil Moisture,nudging_increment_in_mass_content_of_water_in_soil,kg m-2,01c8c41a-a0d8-11e6-bc63-ac72891c3257,CMIP6 endorsement [LS3MIP],1,Existing physical parameter,['recwqBkZNRnLDfcYF'],"A nudging increment refers to an amount added to parts of a model system. The phrase ""nudging\_increment\_in\_X"" refers to an increment in quantity X over a time period which should be defined in the bounds of the time coordinate. ""Content"" indicates a quantity per unit area. ""Water"" means water in all phases. The mass content of water in soil refers to the vertical integral from the surface down to the bottom of the soil model. The ""soil content"" of a quantity refers to the vertical integral from the surface down to the bottom of the soil model. For the content between specified levels in the soil, standard names including ""content\_of\_soil\_layer"" are used.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recIBbUhnYnSwcFuj,vas,Northward Near-Surface Wind,northward_wind,m s-1,86b1cd51f370e346ecb20f1e80cb6ea4,"CMIP5_Amon,CMIP5_CF3hr,CMIP5_CFsubhr,CMIP5_day,PMIP3_Aclim,PMIP3_Amon,PMIP3_day,SPECS_6hr,SPECS_Amon",1,Existing physical parameter,"['recpgh0jiL3Sr9rog', 'recHGYbxfdQtmoLlq', 'recXKDqt7tzNUxI6G', 'recTTwF2Pm6n1qC9y', 'recaUeWIAcaX6P4HC', 'rec86MINjMabmhEEd', 'rec72EOlq7yGmh9TP', 'recrgawmROyHrw8fe']","Northward component of the near surface wind
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,['nsrf'],,,,,,,,,,,
recIEdGbCuY5wH277,simassacrossline,Sea Ice Mass Area Flux Through Straits,sea_ice_transport_across_line,kg s-1,7309e7f8-7a68-11e6-8db2-ac72891c3257,CMIP6 endorsement [SIMIP],1,Existing physical parameter,['rechqMa8zpCZdNdvm'],"net (sum of transport in all directions) sea ice area transport through the following four passages, positive into the Arctic Ocean 1. Fram Strait = (11.5W,81.3N to (10.5E,79.6N) 2. Canadian Archipelago = (128.2W,70.6N) to (59.3W,82.1N) 3. Barents opening = (16.8E,76.5N) to (19.2E,70.2N) 4. Bering Strait = (171W,66.2N) to (166W,65N)
",0 checked out of 1,2024-07-12T09:06:25.000Z,Automations,,,,,,,,,,,,,Typo in title of simassacrossline,True,,,,,
recIFwPtdSpmGL9gE,rldcs,Downwelling Clear-Sky Longwave Radiation,downwelling_longwave_flux_in_air_assuming_clear_sky,W m-2,e79eb59d74038643b2201bb0556e720a,CMIP5_CFmon,1,Existing physical parameter,"['recX7QOdCcSf7aRoF', 'receecJUF4ZXcy1Ow']","Downwelling clear-sky longwave radiation (includes the fluxes at the surface and TOA)
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recIHj4Ak9Fo4jZbK,fNVegLitter,Total Nitrogen Mass Flux from Vegetation to Litter,nitrogen_mass_flux_into_litter_from_vegetation,kg m-2 s-1,5913ba00-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [C4MIP],1,Existing physical parameter,['rec57o31fXginz6Qi'],"In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics. ""Litter"" is dead plant material in or above the soil. ""Vegetation"" means any living plants e.g. trees, shrubs, grass.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recILm4uJoECcNqzt,rsutcsaf,"TOA Outgoing Clear-Sky, Aerosol-Free Shortwave Radiation",toa_outgoing_shortwave_flux_assuming_clear_sky_and_no_aerosol,W m-2,c9a70b4e-c5f0-11e6-ac20-5404a60d96b5,CMIP6 Endorsement [AerChemMIP],1,Existing physical parameter,"['recBsjdqVAXIyg5JK', 'recXtccShXBL0iplD']","Flux corresponding to rsutcs resulting from aerosol-free call to radiation, following Ghan (ACP, 2013)
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recIMsy62B6kBGAfF,hfss,Surface Upward Sensible Heat Flux,surface_upward_sensible_heat_flux,W m-2,a13ed886b17e20cdae8b89b9ff8e4610,CMIP5_Amon,1,Existing physical parameter,"['rec5gZ6BkwwBVu0Bw', 'recrTiiaAXA0hIh7t', 'reckoVvp3DjOyPPDI', 'recPoKA9k4YdWJHx4', 'recGL2nVigjCx873I', 'rec6uJ6QNXl833KyT', 'rec4hzfdxzv0PhZKE', 'recGNmW7DltEJEfnL', 'reckwPdqxy3VNYNLK', 'recuSfNnQbvTPh4QB']","The surface sensible heat flux, also called turbulent heat flux, is the exchange of heat between the surface and the air by motion of air.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recIOfacskNf7mNXA,hfssLut,Sensible Heat Flux on Land-Use Tile,surface_upward_sensible_heat_flux,W m-2,590e590c-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [LUMIP],1,Existing physical parameter,['recsRfL84kFSDfuJa'],"Upward sensible heat flux on land use tiles. The surface sensible heat flux, also called turbulent heat flux, is the exchange of heat between the surface and the air by motion of air.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recIR40nxM0BLoacc,phynos,Surface Mole Concentration of Phytoplankton Nitrogen in Sea Water,mole_concentration_of_phytoplankton_expressed_as_nitrogen_in_sea_water,mol m-3,c96e895e-c5f0-11e6-ac20-5404a60d96b5,CMIP6 Endorsement [OMIP],1,Existing physical parameter,['recVKqUzcxngUzZUz'],"sum of phytoplankton nitrogen component concentrations
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recITyPix0zCvHBPg,h2o,Mass Fraction of Water,mass_fraction_of_water_in_air,1,a7cf325e9bf994ade073a1297378a57c,CMIP5_CF3hr,1,Existing physical parameter,"['recEmtwJCNKBQh8eG', 'rec9VPoSbOzSswEko', 'reciuVRLTguULS7lu']","includes all phases of water
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recIWCzZaaJMUQg6N,dispkexyfo,Ocean Kinetic Energy Dissipation per Unit Area Due to XY Friction,ocean_kinetic_energy_dissipation_per_unit_area_due_to_xy_friction,W m-2,f56a3a44b60650b58309b1d8cf58b913,OMIP_Oyr,1,Existing physical parameter,"['recB6vJvSWkpyVz5E', 'recKc8LRrKW2RtuG2', 'rec5kpFG0yvOxdbi2']","Depth integrated impacts on kinetic energy arising from lateral frictional dissipation associated with Laplacian and/or biharmonic viscosity. For CMIP5, this diagnostic was 3d, whereas the CMIP6 depth integrated diagnostic is sufficient for many purposes and reduces archive requirements.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recIXUjStnTMG6G2i,dissi14cabio,Abiotic Dissolved Inorganic Carbon-14 Concentration,mole_concentration_of_dissolved_inorganic_14C_in_sea_water,mol m-3,1391b0d99790cec6597b02ce4d7c5a67,OMIP_Oyr,1,Existing physical parameter,"['recz2cLkz0r0LjyTx', 'rec0stLZSopQoWn0p']","Abiotic Dissolved inorganic carbon-14 (CO3+HCO3+H2CO3) concentration
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recIYLycaxAnzi8Kc,bsios,Surface Mole Concentration of Particulate Organic Matter Expressed as Silicon in Sea Water,mole_concentration_of_particulate_organic_matter_expressed_as_silicon_in_sea_water,mol m-3,c96e7b08-c5f0-11e6-ac20-5404a60d96b5,CMIP6 Endorsement [OMIP],1,Existing physical parameter,['recM25Q11vJQkpWax'],"sum of particulate silica component concentrations
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recIYqhZG4SGn5G8g,emibbch4,total emission of CH4 from all biomass burning,,kg m-2 s-1,,,1,Under review,['reckD8O0RpjX2LGJa'],,,2024-08-30T11:51:14.000Z,Beth Dingley,In progress,['Atmosphere'],True,Atmosphere,fiona.oconnor@metoffice.gov.uk,"To understand sources of methane with new methane emissions-driven model capability
",,,tendency_of_atmosphere_mass_content_of_methane_due_to_emission_from_all_fires,https://github.com/cf-convention/vocabularies/issues/215,,,,,,,,,
recIZI3sVB418tX0c,popos,Surface Mole Concentration of Particulate Organic Matter Expressed as Phosphorus in Sea Water,mole_concentration_of_particulate_organic_matter_expressed_as_phosphorus_in_sea_water,mol m-3,c96e5fc4-c5f0-11e6-ac20-5404a60d96b5,CMIP6 Endorsement [OMIP],1,Existing physical parameter,['recAT8gsN4riA8hdE'],"sum of particulate organic phosphorus component concentrations
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recIaWzw3byp5tUVY,mmrbc,Elemental Carbon Mass Mixing Ratio,mass_fraction_of_elemental_carbon_dry_aerosol_particles_in_air,kg kg-1,d63c4dd912d79edc6221c0e09da24a79,CCMI1_monthly,1,Existing physical parameter,"['recbkpnaRpuw14G3t', 'reccGE7Hqqsd27Ff6', 'recy8WKuPGoMecT8N']","Dry mass fraction of black carbon aerosol particles in air.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recIb7HS6rgtxQ7HH,grassFracC3,C3 Natural Grass Area Percentage,area_fraction,%,590dc8ac-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [PMIP],1,Existing physical parameter,['rectvyv669X4OYG5q'],"Percentage of entire grid cell covered by C3 natural grass.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recIbRDsn80C6vDy2,co3satcalc,Mole Concentration of Carbonate Ion in Equilibrium with Pure Calcite in Sea Water,mole_concentration_of_carbonate_expressed_as_carbon_at_equilibrium_with_pure_calcite_in_sea_water,mol m-3,28907f4f1855d3d22166c87b8e5300be,OMIP.Omon,1,Existing physical parameter,"['recMCAo72XD02jWaF', 'rec64FH1tj4roK3J0']","Mole concentration (number of moles per unit volume: molarity) of the carbonate anion (CO3) for sea water in equilibrium with pure calcite. Aragonite  (CaCO3) is a mineral that is a polymorph of calcium carbonate.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recIe9I6RHTygRlFY,wetlandFrac,Wetland Percentage Cover,area_fraction,%,59147ddc-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [PMIP],1,Existing physical parameter,['recwjZ6zLoIDsidBl'],"Percentage of grid cell covered by wetland. Report only one year if  fixed percentage is used, or time series if values are determined dynamically.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recIepoJnbNO8LI0o,rlusIs,Ice Sheet Surface Upwelling Longwave Radiation,surface_upwelling_longwave_flux_in_air,W m-2,538287c2-bf01-11e6-a554-ac72891c3257,CMIP6 [ISMIP6],1,Existing physical parameter,['recZ1o3becjTx6i4E'],"The surface called ""surface"" means the lower boundary of the atmosphere. ""longwave"" means longwave radiation. Upwelling radiation is radiation from below. It does not mean ""net upward"". When thought of as being incident on a surface, a radiative flux is sometimes called ""irradiance"". In addition, it is identical with the quantity measured by a cosine-collector light-meter and sometimes called ""vector irradiance"". In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recIjFvBLqkCzIxD7,uaUTLSadd, 6 hourly instantaneous northward wind at 2 additional pressure levels in the UTLS region (175 and 225 hPa),northward_wind,m s-1,,,1,Under review,['recZtkXBh5C6UFQcM'],,0 checked out of 1,2024-09-13T18:14:10.000Z,Beth Dingley,,['Impacts & Adaptation'],True,Impacts and Adaptation,paula.gonzalez@metoffice.gov.uk,"Requested to study impacts on aviation. Needed to diagnose clear air turbulence.
",In progress,,,,,,,,,,,,
